count_X36,count_X27,count_X30,count_X41,mean_X36,mean_X27,mean_X30,mean_X41,std_X36,std_X27,std_X30,std_X41,min_X36,min_X27,min_X30,min_X41,25%_X36,25%_X27,25%_X30,25%_X41,50%_X36,50%_X27,50%_X30,50%_X41,75%_X36,75%_X27,75%_X30,75%_X41,max_X36,max_X27,max_X30,max_X41
25.0,25.0,25.0,25.0,0.0,5.788,2.5000000000000004,0.0684,0.0,2.2435685859808254,1.2747548783981961,0.040792156108742275,0.0,3.5,1.2,0.03,0.0,3.5,1.2,0.03,0.0,7.9,3.7,0.03,0.0,7.9,3.7,0.11,0.0,7.9,3.7,0.11
50.0,50.0,50.0,50.0,0.0,5.7,2.45,0.07,0.0,2.2223355980148636,1.2626906806902636,0.040406101782088436,0.0,3.5,1.2,0.03,0.0,3.5,1.2,0.03,0.0,5.7,2.45,0.07,0.0,7.9,3.7,0.11,0.0,7.9,3.7,0.11
12.0,12.0,12.0,12.0,0.0,7.900000000000002,3.700000000000001,0.03000000000000001,0.0,1.8553442084620055e-15,9.276721042310028e-16,1.0871157471457064e-17,0.0,7.9,3.7,0.03,0.0,7.9,3.7,0.03,0.0,7.9,3.7,0.03,0.0,7.9,3.7,0.03,0.0,7.9,3.7,0.03
24.0,24.0,24.0,24.0,0.0325,8.245833333333332,2.75,0.10208333333333335,0.03053864266224309,1.272443444260129,1.8323185597345857,0.03562841643928361,0.0,7.1,0.8,0.07,0.0,7.1,0.8,0.07,0.06,7.1,4.4,0.07,0.06,9.6,4.4,0.14,0.06,9.6,4.4,0.14
14.0,14.0,14.0,14.0,0.0,7.585714285714288,3.5214285714285727,0.03571428571428572,0.0,1.1759494644146673,0.6681531047810612,0.021380899352993955,0.0,3.5,1.2,0.03,0.0,7.9,3.7,0.03,0.0,7.9,3.7,0.03,0.0,7.9,3.7,0.03,0.0,7.9,3.7,0.11
50.0,50.0,50.0,50.0,0.031200000000000002,8.3,2.672000000000001,0.10360000000000001,0.030280322970266903,1.261680123761121,1.8168193782160145,0.03532704346531139,0.0,7.1,0.8,0.07,0.0,7.1,0.8,0.07,0.06,7.1,4.4,0.07,0.06,9.6,4.4,0.14,0.06,9.6,4.4,0.14
50.0,50.0,50.0,50.0,0.0182,8.585999999999999,2.17,0.09400000000000003,0.025369916299846643,1.0165989717620982,1.417996574648291,0.02885572839532022,0.0,7.1,0.8,0.07,0.0,7.4,1.2,0.07,0.01,8.850000000000001,2.1,0.07,0.0475,9.4,3.825,0.1,0.06,9.6,4.4,0.14
43.0,43.0,43.0,43.0,0.004883720930232559,8.837209302325581,1.6395348837209303,0.08534883720930234,0.005057805388588732,0.5563585927447603,0.4552024849729859,0.015173416165766195,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.1,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.031200000000000002,8.299999999999999,2.6720000000000006,0.10360000000000001,0.030594117081556706,1.2747548783981961,1.8356470248934027,0.0356931365951495,0.0,7.1,0.8,0.07,0.0,7.1,0.8,0.07,0.06,7.1,4.4,0.07,0.06,9.6,4.4,0.14,0.06,9.6,4.4,0.14
25.0,25.0,25.0,25.0,0.0052,8.872000000000002,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.0052,8.872,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.031200000000000002,8.299999999999999,2.6719999999999997,0.10360000000000001,0.030594117081556706,1.2747548783981963,1.835647024893403,0.0356931365951495,0.0,7.1,0.8,0.07,0.0,7.1,0.8,0.07,0.06,7.1,4.4,0.07,0.06,9.6,4.4,0.14,0.06,9.6,4.4,0.14
25.0,25.0,25.0,25.0,0.0052,8.872000000000002,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.031200000000000002,8.299999999999999,2.6720000000000006,0.10360000000000001,0.030594117081556706,1.2747548783981961,1.8356470248934027,0.0356931365951495,0.0,7.1,0.8,0.07,0.0,7.1,0.8,0.07,0.06,7.1,4.4,0.07,0.06,9.6,4.4,0.14,0.06,9.6,4.4,0.14
25.0,25.0,25.0,25.0,0.0052,9.432,2.3703999999999996,0.26159999999999994,0.005099019513592784,5.91486263576763,2.0498058444642995,0.1682676439485619,0.0,3.4,0.28,0.09,0.0,3.4,0.28,0.09,0.01,15.0,4.3,0.42,0.01,15.0,4.3,0.42,0.01,15.0,4.3,0.42
25.0,25.0,25.0,25.0,0.0052,8.872,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
22.0,22.0,22.0,22.0,0.004999999999999999,8.850000000000003,1.65,0.08500000000000002,0.00511766315719159,0.5629429472910746,0.4605896841472432,0.015352989471574768,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.005,8.850000000000001,1.65,0.085,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
24.0,24.0,24.0,24.0,0.005,8.85,1.6500000000000001,0.085,0.005107539184552492,0.5618293103007739,0.4596785266097243,0.015322617553657474,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.005,8.850000000000001,1.65,0.085,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.0052,8.872000000000002,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.0052,8.872000000000002,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.0104,7.312000000000001,1.2,0.08439999999999999,0.010198039027185569,0.9688137075826293,0.0,0.015297058540778353,0.0,6.4,1.2,0.07,0.0,6.4,1.2,0.07,0.02,6.4,1.2,0.07,0.02,8.3,1.2,0.1,0.02,8.3,1.2,0.1
25.0,25.0,25.0,25.0,0.0052,8.872000000000002,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
24.0,24.0,24.0,24.0,0.005416666666666667,9.683333333333334,2.4574999999999996,0.26875,0.005089773777040516,5.9041375813669985,2.046089058370287,0.167962534642337,0.0,3.4,0.28,0.09,0.0,3.4,0.28,0.09,0.01,15.0,4.3,0.42,0.01,15.0,4.3,0.42,0.01,15.0,4.3,0.42
25.0,25.0,25.0,25.0,0.0052,8.872000000000002,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.0104,7.312000000000001,1.2,0.08439999999999999,0.010198039027185569,0.9688137075826293,0.0,0.015297058540778353,0.0,6.4,1.2,0.07,0.0,6.4,1.2,0.07,0.02,6.4,1.2,0.07,0.02,8.3,1.2,0.1,0.02,8.3,1.2,0.1
25.0,25.0,25.0,25.0,0.0052,8.872000000000002,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.0052,10.152,2.3703999999999996,0.2856,0.005099019513592784,5.150009708728712,2.0498058444642995,0.14277254638059794,0.0,4.9,0.28,0.14,0.0,4.9,0.28,0.14,0.01,15.0,4.3,0.42,0.01,15.0,4.3,0.42,0.01,15.0,4.3,0.42
24.0,24.0,24.0,24.0,0.0,3.65,1.135,0.10500000000000002,0.0,0.9704324450649732,0.6793027115454814,0.02553769592276246,0.0,2.7,0.47,0.08,0.0,2.7,0.47,0.08,0.0,3.65,1.135,0.10500000000000001,0.0,4.6,1.8,0.13,0.0,4.6,1.8,0.13
25.0,25.0,25.0,25.0,0.0052,8.872000000000002,1.6680000000000001,0.08439999999999999,0.005099019513592784,0.5608921464952061,0.45891175622335073,0.015297058540778353,0.0,8.3,1.2,0.07,0.0,8.3,1.2,0.07,0.01,9.4,2.1,0.07,0.01,9.4,2.1,0.1,0.01,9.4,2.1,0.1
25.0,25.0,25.0,25.0,0.0,12.0,2.4,0.18,0.0,0.0,0.0,0.0,0.0,12.0,2.4,0.18,0.0,12.0,2.4,0.18,0.0,12.0,2.4,0.18,0.0,12.0,2.4,0.18,0.0,12.0,2.4,0.18
25.0,25.0,25.0,25.0,0.0104,4.488,0.7864,0.19080000000000003,0.010198039027185569,0.9688137075826293,0.545595087954428,0.020396078054371127,0.0,3.5,0.23,0.17,0.0,3.5,0.23,0.17,0.02,5.4,1.3,0.21,0.02,5.4,1.3,0.21,0.02,5.4,1.3,0.21
24.0,24.0,24.0,24.0,0.02,10.5,2.6500000000000004,0.125,0.0,0.5107539184552492,0.5618293103007741,0.056182931030077404,0.02,10.0,2.1,0.07,0.02,10.0,2.1,0.07,0.02,10.5,2.6500000000000004,0.125,0.02,11.0,3.2,0.18,0.02,11.0,3.2,0.18
25.0,25.0,25.0,25.0,0.0,5.788,2.5000000000000004,0.0684,0.0,2.2435685859808254,1.2747548783981963,0.040792156108742275,0.0,3.5,1.2,0.03,0.0,3.5,1.2,0.03,0.0,7.9,3.7,0.03,0.0,7.9,3.7,0.11,0.0,7.9,3.7,0.11
25.0,25.0,25.0,25.0,0.0052,9.431999999999999,2.3703999999999996,0.26159999999999994,0.005099019513592784,5.91486263576763,2.0498058444642995,0.1682676439485619,0.0,3.4,0.28,0.09,0.0,3.4,0.28,0.09,0.01,15.0,4.3,0.42,0.01,15.0,4.3,0.42,0.01,15.0,4.3,0.42
46.0,46.0,46.0,46.0,0.017173913043478265,9.406521739130437,3.125869565217392,0.24391304347826087,0.01905116426634818,3.2131260081050907,1.5853938537466277,0.22617081313683216,0.0,4.1,0.79,0.05,0.01,9.3,3.0,0.06,0.01,10.65,3.2,0.165,0.01,12.0,3.4,0.27,0.05,12.0,5.3,0.61
24.0,24.0,24.0,24.0,0.0,3.570833333333333,1.1904166666666667,0.10291666666666667,0.0,0.9670570176376977,0.6769399123463886,0.02544886888520258,0.0,2.7,0.47,0.08,0.0,2.7,0.47,0.08,0.0,2.7,1.8,0.08,0.0,4.6,1.8,0.13,0.0,4.6,1.8,0.13
25.0,25.0,25.0,25.0,0.0148,9.491999999999999,2.26,0.0292,0.005099019513592784,1.4787156589419077,0.2549509756796392,0.02039607805437114,0.01,8.1,2.0,0.01,0.01,8.1,2.0,0.01,0.01,8.1,2.5,0.01,0.02,11.0,2.5,0.05,0.02,11.0,2.5,0.05
25.0,25.0,25.0,25.0,0.0104,8.516000000000002,3.648,0.1072,0.010198039027185569,3.416343074107166,1.2237646832622684,0.071386273190299,0.0,5.3,2.4,0.04,0.0,5.3,2.4,0.04,0.02,5.3,4.8,0.04,0.02,12.0,4.8,0.18,0.02,12.0,4.8,0.18
