process_end_time,final_mes_time,OV,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,batch_id,batch_OV_std,is_anomaly
2016-08-14 23:07:00,2016-09-24 04:22:00,111.2886,22.98,1.37,797.2,0.67,0.15,0.08,67.15,9.86,37.23,0.94,21.52,29.82,0.57,42.06,0.94,1.47,5.51,8.01,1.37,0.28,0.9,1100,0,0.03,0.84,0.12,3.5,1.8,3.2,1.2,22.0,0.84,0.78,3.1,0.6,0.0,9.7,0.02,0.06,1.2,0.11,3.1,22.02,1.16,584.4,0.69,0.14,0.08,154.8,9.31,9.91,0.92,20.44,65.07,0.58,39.47,1.0,1.42,2.24,8.84,0.53,0.16,0.58,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
2016-08-14 23:07:00,2016-09-24 10:12:00,201.5617,22.45,9.4,803.8,0.68,0.15,0.08,56.11,5.27,33.98,0.96,20.95,166.47,0.58,40.81,0.42,1.46,4.85,11.05,0.57,0.17,0.61,380,0,0.01,0.23,0.11,7.9,2.9,5.5,3.7,2.7,2.2,1.5,1.5,1.9,0.0,45.0,0.01,0.06,0.83,0.03,8.1,22.34,1.39,667.74,0.69,0.15,0.08,219.69,6.36,19.0,1.0,20.6,125.52,0.59,40.18,0.83,1.53,4.03,10.88,0.54,1.47,0.8,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
2016-08-14 23:07:00,2016-09-24 14:11:00,111.941,22.03,1.14,594.52,0.64,0.14,0.08,51.57,6.15,10.44,0.94,20.39,131.78,0.55,39.28,0.73,1.42,2.88,5.09,0.5,0.17,0.52,1100,0,0.03,0.84,0.12,3.5,1.8,3.2,1.2,22.0,0.84,0.78,3.1,0.6,0.0,9.7,0.02,0.06,1.2,0.11,3.1,23.21,1.56,871.77,5.35,0.22,0.12,2029.33,6.76,202.64,1.02,21.81,735.93,0.61,41.85,8.31,1.58,19.0,10.26,0.55,0.16,0.76,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
2016-08-14 23:07:00,2016-09-24 15:30:00,182.3914,22.98,1.37,797.2,0.67,0.15,0.08,67.15,9.86,37.23,0.94,21.52,29.82,0.57,42.06,0.94,1.47,5.51,8.01,1.37,0.28,0.9,1100,0,0.03,0.84,0.12,3.5,1.8,3.2,1.2,22.0,0.84,0.78,3.1,0.6,0.0,9.7,0.02,0.06,1.2,0.11,3.1,23.21,1.56,871.77,5.35,0.22,0.12,2029.33,6.76,202.64,1.02,21.81,735.93,0.61,41.85,8.31,1.58,19.0,10.26,0.55,0.16,0.76,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
2016-08-14 23:07:00,2016-09-24 18:31:00,196.2703,22.98,1.37,797.2,0.67,0.15,0.08,67.15,9.86,37.23,0.94,21.52,29.82,0.57,42.06,0.94,1.47,5.51,8.01,1.37,0.28,0.9,380,0,0.01,0.23,0.11,7.9,2.9,5.5,3.7,2.7,2.2,1.5,1.5,1.9,0.0,45.0,0.01,0.06,0.83,0.03,8.1,22.02,1.16,584.4,0.69,0.14,0.08,154.8,9.31,9.91,0.92,20.44,65.07,0.58,39.47,1.0,1.42,2.24,8.84,0.53,0.16,0.58,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
2016-08-14 23:07:00,2016-09-24 21:35:00,240.5799,22.45,9.4,803.8,0.68,0.15,0.08,56.11,5.27,33.98,0.96,20.95,166.47,0.58,40.81,0.42,1.46,4.85,11.05,0.57,0.17,0.61,380,0,0.01,0.23,0.11,7.9,2.9,5.5,3.7,2.7,2.2,1.5,1.5,1.9,0.0,45.0,0.01,0.06,0.83,0.03,8.1,23.21,1.56,871.77,5.35,0.22,0.12,2029.33,6.76,202.64,1.02,21.81,735.93,0.61,41.85,8.31,1.58,19.0,10.26,0.55,0.16,0.76,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
2016-08-14 23:07:00,2016-09-24 22:32:00,105.9398,22.45,9.4,803.8,0.68,0.15,0.08,56.11,5.27,33.98,0.96,20.95,166.47,0.58,40.81,0.42,1.46,4.85,11.05,0.57,0.17,0.61,1100,0,0.03,0.84,0.12,3.5,1.8,3.2,1.2,22.0,0.84,0.78,3.1,0.6,0.0,9.7,0.02,0.06,1.2,0.11,3.1,22.34,1.39,667.74,0.69,0.15,0.08,219.69,6.36,19.0,1.0,20.6,125.52,0.59,40.18,0.83,1.53,4.03,10.88,0.54,1.47,0.8,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
2016-08-14 23:07:00,2016-09-25 01:47:00,169.5418,22.03,1.14,594.52,0.64,0.14,0.08,51.57,6.15,10.44,0.94,20.39,131.78,0.55,39.28,0.73,1.42,2.88,5.09,0.5,0.17,0.52,1100,0,0.03,0.84,0.12,3.5,1.8,3.2,1.2,22.0,0.84,0.78,3.1,0.6,0.0,9.7,0.02,0.06,1.2,0.11,3.1,23.21,1.56,871.77,5.35,0.22,0.12,2029.33,6.76,202.64,1.02,21.81,735.93,0.61,41.85,8.31,1.58,19.0,10.26,0.55,0.16,0.76,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
2016-08-14 23:07:00,2016-09-25 02:53:00,194.1514,22.03,1.14,594.52,0.64,0.14,0.08,51.57,6.15,10.44,0.94,20.39,131.78,0.55,39.28,0.73,1.42,2.88,5.09,0.5,0.17,0.52,380,0,0.01,0.23,0.11,7.9,2.9,5.5,3.7,2.7,2.2,1.5,1.5,1.9,0.0,45.0,0.01,0.06,0.83,0.03,8.1,23.21,1.56,871.77,5.35,0.22,0.12,2029.33,6.76,202.64,1.02,21.81,735.93,0.61,41.85,8.31,1.58,19.0,10.26,0.55,0.16,0.76,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
2016-08-14 23:07:00,2016-09-25 06:10:00,232.5771,22.98,1.37,797.2,0.67,0.15,0.08,67.15,9.86,37.23,0.94,21.52,29.82,0.57,42.06,0.94,1.47,5.51,8.01,1.37,0.28,0.9,380,0,0.01,0.23,0.11,7.9,2.9,5.5,3.7,2.7,2.2,1.5,1.5,1.9,0.0,45.0,0.01,0.06,0.83,0.03,8.1,23.21,1.56,871.77,5.35,0.22,0.12,2029.33,6.76,202.64,1.02,21.81,735.93,0.61,41.85,8.31,1.58,19.0,10.26,0.55,0.16,0.76,0.89,0.0,0.21,0.01,0.14,0.17,0.12,0.12,0.26,0.65,0.1,0.04,6.4,0.58,0.0,4.1,0.0,0.01,0.16,0.04,0,53.41486535541564,1
